"<font>challenge</font>","<font color='red'>'tʃælɪn(d)ʒ</font><br><font>挑战</font><br><br><font color='green'>n. 挑战；怀疑</font><br><font color='green'>vt. 向…挑战</font><br><br><font color='red'>Challenge</font> : <font color='blue'>挑战</font>; <font color='blue'>叫板</font>; <font color='blue'>挑战赛</font>; <br><font color='red'>Infinite Challenge</font> : <font color='blue'>无限挑战</font>; <br><font color='red'>WINTER CHALLENGE</font> : <font color='blue'>冬季运动专业版</font>; <font color='blue'>冬奥会高山滑雪</font>; <br>","List 1",""
"<font>furnish</font>","<font color='red'>'fɜːnɪʃ</font><br><font>提供</font><br><br><font color='green'>vt. 提供；供应；装备</font><br><br><font color='red'>furnish</font> : <font color='blue'>供应</font>; <font color='blue'>装备</font>; <font color='blue'>布置</font>; <br><font color='red'>furnish evidence</font> : <font color='blue'>在美国经营无船承运人</font>; <font color='blue'>提供证据</font>; <br><font color='red'>Beater furnish</font> : <font color='blue'>打浆机配料</font>; <br>","List 1",""
"<font>establish</font>","<font color='red'>ɪ'stæblɪʃ; e-</font><br><font>建立</font><br><br><font color='green'>vi. 植物定植</font><br><font color='green'>vt. 建立；创办；安置</font><br><br><font color='red'>Establish</font> : <font color='blue'>建立</font>; <font color='blue'>确立</font>; <font color='blue'>设立</font>; <br><font color='red'>establish create</font> : <font color='blue'>创作</font>; <font color='blue'>设立</font>; <br><font color='red'>set establish</font> : <font color='blue'>安置</font>; <font color='blue'>确定</font>; <br>","List 1",""
"<font>intellectual</font>","<font color='red'>,ɪntə'lektʃʊəl; -tjʊəl</font><br><font>知识</font><br><br><font color='green'>n. 知识分子；凭理智做事者</font><br><font color='green'>adj. 智力的；聪明的；理智的</font><br><br><font color='red'>Intellectual</font> : <font color='blue'>知识分子</font>; <font color='blue'>智力的</font>; <font color='blue'>过渡的</font>; <br><font color='red'>Intellectual capital</font> : <font color='blue'>智慧资本</font>; <font color='blue'>智力资本</font>; <font color='blue'>智能资本</font>; <br><font color='red'>Intellectual giftedness</font> : <font color='blue'>资优</font>; <br>","List 1",""
"<font>qualification</font>","<font color='red'>,kwɒlɪfɪ'keɪʃ(ə)n</font><br><font>资格</font><br><br><font color='green'>n. 资格；条件；限制；赋予资格</font><br><br><font color='red'>qualification</font> : <font color='blue'>资格</font>; <font color='blue'>资格赛</font>; <font color='blue'>任职资格</font>; <br><font color='red'>Enterprise qualification</font> : <font color='blue'>企业资质</font>; <font color='blue'>企业天资</font>; <font color='blue'>企业天分</font>; <br><font color='red'>qualification test</font> : <font color='blue'>资格考试</font>; <font color='blue'>鉴定试验</font>; <font color='blue'>合格试验</font>; <br>","List 1",""
"<font>worthy</font>","<font color='red'>'wɜːðɪ</font><br><font>有价值的</font><br><br><font color='green'>n. 杰出人物；知名人士</font><br><font color='green'>adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的</font><br><font color='green'>n. (Worthy)人名；(英)沃西</font><br><br><font color='red'>worthy</font> : <font color='blue'>值得的</font>; <font color='blue'>有价值的</font>; <font color='blue'>万信</font>; <br><font color='red'>Amanda Worthy</font> : <font color='blue'>宣传部长</font>; <br><font color='red'>credit worthy</font> : <font color='blue'>可给予信贷的</font>; <br>","List 1",""
"<font>appearance</font>","<font color='red'>ə'pɪər(ə)ns</font><br><font>外观</font><br><br><font color='green'>n. 外貌，外观；出现，露面</font><br><br><font color='red'>appearance</font> : <font color='blue'>外观</font>; <font color='blue'>出现</font>; <font color='blue'>外表</font>; <br><font color='red'>Plate appearance</font> : <font color='blue'>打席数</font>; <br><font color='red'>FINAL APPEARANCE</font> : <font color='blue'>最终外观</font>; <font color='blue'>终极外不雅</font>; <font color='blue'>终极外观</font>; <br>","List 1",""
"<font>aspect</font>","<font color='red'>'æspekt</font><br><font>方面</font><br><br><font color='green'>n. 方面；方向；形势；外貌</font><br><br><font color='red'>aspect</font> : <font color='blue'>方面</font>; <font color='blue'>样子</font>; <font color='blue'>朝向</font>; <br><font color='red'>Imperfective aspect</font> : <font color='blue'>非完整体</font>; <font color='blue'>未完成体</font>; <font color='blue'>未完成式</font>; <br><font color='red'>aspect card</font> : <font color='blue'>标号卡片</font>; <font color='blue'>标记卡</font>; <font color='blue'>标志卡</font>; <br>","List 1",""
"<font>liquid</font>","<font color='red'>'lɪkwɪd</font><br><font>液体</font><br><br><font color='green'>n. 液体，流体；流音</font><br><font color='green'>adj. 液体的；清澈的；明亮的；易变的</font><br><br><font color='red'>Liquid</font> : <font color='blue'>液体</font>; <font color='blue'>液体货物</font>; <font color='blue'>液态</font>; <br><font color='red'>Liquid crystal</font> : <font color='blue'>液晶</font>; <font color='blue'>液态晶体</font>; <font color='blue'>液晶体</font>; <br><font color='red'>Liquid oxygen</font> : <font color='blue'>液氧</font>; <font color='blue'>液态氧</font>; <br>","List 1",""
"<font>sword</font>","<font color='red'>sɔːd</font><br><font>剑</font><br><br><font color='green'>n. 刀，剑；武力，战争</font><br><font color='green'>n. (Sword)人名；(英)索德</font><br><br><font color='red'>Sword</font> : <font color='blue'>剑</font>; <font color='blue'>世奥得</font>; <font color='blue'>魔法剑</font>; <br><font color='red'>Heavenly Sword</font> : <font color='blue'>玄天神剑</font>; <font color='blue'>天堂之剑</font>; <font color='blue'>天剑</font>; <br><font color='red'>Butterfly sword</font> : <font color='blue'>蝴蝶双刀</font>; <font color='blue'>新流星蝴蝶剑</font>; <font color='blue'>流星蝴蝶剑</font>; <br>","List 1",""
"<font>lad</font>","<font color='red'>læd</font><br><font>小伙子</font><br><br><font color='green'>n. 少年，小伙子；家伙</font><br><font color='green'>n. (Lad)人名；(英、捷)拉德</font><br><br><font color='red'>LAD</font> : <font color='blue'>梯形图</font>; <font color='blue'>左前降支</font>; <font color='blue'>前降支</font>; <br><font color='red'>Nicky Lad</font> : <font color='blue'>新布莱丝</font>; <br><font color='red'>Handsome Lad</font> : <font color='blue'>英俊的小伙子</font>; <br>","List 1",""
"<font>apply</font>","<font color='red'>ə'plaɪ</font><br><font>应用</font><br><br><font color='green'>vi. 申请；涂，敷；适用；请求</font><br><font color='green'>vt. 申请；涂，敷；应用</font><br><br><font color='red'>apply</font> : <font color='blue'>应用</font>; <font color='blue'>申请</font>; <font color='blue'>报名</font>; <br><font color='red'>Apply Atmospherics</font> : <font color='blue'>指定大气</font>; <br><font color='red'>May apply</font> : <font color='blue'>可申请</font>; <br>","List 1",""
"<font>exterior</font>","<font color='red'>ɪk'stɪərɪə; ek-</font><br><font>外</font><br><br><font color='green'>n. 外部；表面；外型；外貌</font><br><font color='green'>adj. 外部的；表面的；外在的</font><br><br><font color='red'>exterior</font> : <font color='blue'>外景</font>; <font color='blue'>外部</font>; <font color='blue'>外观</font>; <br><font color='red'>exterior angle</font> : <font color='blue'>外角</font>; <font color='blue'>内角</font>; <font color='blue'>外角内角</font>; <br><font color='red'>X exterior</font> : <font color='blue'>扩展</font>; <font color='blue'>扩大</font>; <br>","List 1",""
"<font>preference</font>","<font color='red'>'pref(ə)r(ə)ns</font><br><font>偏好</font><br><br><font color='green'>n. 偏爱，倾向；优先权</font><br><br><font color='red'>Preference</font> : <font color='blue'>偏好</font>; <font color='blue'>偏爱</font>; <font color='blue'>优先</font>; <br><font color='red'>Time preference</font> : <font color='blue'>时间优先</font>; <font color='blue'>时间偏好</font>; <font color='blue'>时间的优先选择</font>; <br><font color='red'>Liquidation Preference</font> : <font color='blue'>清算优先权</font>; <font color='blue'>优先清算权</font>; <font color='blue'>再谈优先清算权</font>; <br>","List 1",""
